xflr5 v6.61

Plane name :        Wing_twist_-2
Polar name :        T1-25.0 m/s-LLT
Freestream speed :  25.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -10.000     0.000  -0.631846   0.015322   0.022724   0.038046   0.000000   0.000000   0.129977  -0.000000  -0.000000   25.0000     0.0542
   -9.500     0.000  -0.584581   0.013519   0.020944   0.034464   0.000000  -0.000000   0.112387   0.000000   0.000000   25.0000     0.0505
   -9.000     0.000  -0.538601   0.011768   0.019382   0.031150   0.000000  -0.000000   0.095478   0.000000   0.000000   25.0000     0.0466
   -8.500     0.000  -0.491043   0.010089   0.018016   0.028105   0.000000   0.000000   0.077792   0.000000  -0.000000   25.0000     0.0414
   -8.000     0.000  -0.443470   0.008556   0.016700   0.025256   0.000000   0.000000   0.060350   0.000000   0.000000   25.0000     0.0348
   -7.500     0.000  -0.396698   0.007182   0.015423   0.022605   0.000000   0.000000   0.043630   0.000000   0.000000   25.0000     0.0267
   -7.000     0.000  -0.350987   0.005967   0.014341   0.020309   0.000000  -0.000000   0.027769   0.000000   0.000000   25.0000     0.0166
   -6.500     0.000  -0.306349   0.004904   0.013551   0.018455   0.000000  -0.000000   0.012740   0.000000   0.000000   25.0000     0.0036
   -6.000     0.000  -0.261232   0.003955   0.012984   0.016940   0.000000   0.000000  -0.002445   0.000000   0.000000   25.0000    -0.0165
   -5.500     0.000  -0.217009   0.003155   0.012487   0.015642   0.000000  -0.000000  -0.017041   0.000000   0.000000   25.0000    -0.0471
   -5.000     0.000  -0.172938   0.002482   0.012049   0.014530   0.000000   0.000000  -0.031514   0.000000   0.000000   25.0000    -0.1084
   -4.500     0.000  -0.128467   0.001933   0.011657   0.013589   0.000000  -0.000000  -0.046191   0.000000   0.000000   25.0000    -0.4239
   -4.000     0.000  -0.082426   0.001488   0.011303   0.012790   0.000000   0.000000  -0.061733   0.000000   0.000000   25.0000    -0.2153
   -3.500     0.000  -0.035084   0.001174   0.010985   0.012159   0.000000   0.000000  -0.078032   0.000000   0.000000   25.0000     0.0827
   -3.000     0.000   0.011709   0.001026   0.010707   0.011732   0.000000  -0.000000  -0.094007   0.000000   0.000000   25.0000     1.2027
   -2.500     0.000   0.058938   0.001031   0.010451   0.011482   0.000000   0.000000  -0.110227   0.000000   0.000000   25.0000     0.3548
   -2.000     0.000   0.105893   0.001200   0.010244   0.011444   0.000000   0.000000  -0.126273   0.000000   0.000000   25.0000     0.2341
   -1.500     0.000   0.152935   0.001521   0.010081   0.011602   0.000000  -0.000000  -0.142363   0.000000   0.000000   25.0000     0.2007
   -1.000     0.000   0.200258   0.001996   0.009953   0.011949   0.000000  -0.000000  -0.158623   0.000000   0.000000   25.0000     0.2451
   -0.500     0.000   0.245181   0.002618   0.009891   0.012509   0.000000  -0.000000  -0.173431   0.000000   0.000000   25.0000     0.2443
    0.000     0.000   0.289612   0.003383   0.009857   0.013240   0.000000  -0.000000  -0.187966   0.000000   0.000000   25.0000     0.2397
    0.500     0.000   0.333065   0.004268   0.009866   0.014134   0.000000  -0.000000  -0.201962   0.000000   0.000000   25.0000     0.2205
    1.000     0.000   0.369579   0.005079   0.010125   0.015203   0.000000  -0.000000  -0.212273   0.000000   0.000000   25.0000     0.1998
    1.500     0.000   0.403834   0.005927   0.010466   0.016392   0.000000  -0.000000  -0.221377   0.000000   0.000000   25.0000     0.1763
    2.000     0.000   0.438081   0.006865   0.010815   0.017680   0.000000  -0.000000  -0.230485   0.000000   0.000000   25.0000     0.1538
    2.500     0.000   0.476546   0.008049   0.011106   0.019155   0.000000  -0.000000  -0.241899   0.000000   0.000000   25.0000     0.1412
    3.000     0.000   0.519150   0.009482   0.011337   0.020819   0.000000  -0.000000  -0.255548   0.000000   0.000000   25.0000     0.1338
    3.500     0.000   0.561917   0.011054   0.011585   0.022640   0.000000  -0.000000  -0.269324   0.000000   0.000000   25.0000     0.1284
    4.000     0.000   0.604625   0.012754   0.011857   0.024611   0.000000  -0.000000  -0.283087   0.000000   0.000000   25.0000     0.1248
    4.500     0.000   0.647185   0.014575   0.012149   0.026725   0.000000  -0.000000  -0.296786   0.000000   0.000000   25.0000     0.1220
    5.000     0.000   0.689553   0.016516   0.012464   0.028980   0.000000  -0.000000  -0.310394   0.000000   0.000000   25.0000     0.1195
    5.500     0.000   0.731614   0.018568   0.012809   0.031377   0.000000  -0.000000  -0.323850   0.000000   0.000000   25.0000     0.1171
    6.000     0.000   0.773329   0.020728   0.013184   0.033912   0.000000  -0.000000  -0.337134   0.000000   0.000000   25.0000     0.1150
    6.500     0.000   0.814698   0.022992   0.013583   0.036575   0.000000  -0.000000  -0.350249   0.000000   0.000000   25.0000     0.1130
    7.000     0.000   0.855621   0.025351   0.014011   0.039361   0.000000  -0.000000  -0.363140   0.000000   0.000000   25.0000     0.1114
    7.500     0.000   0.896010   0.027796   0.014471   0.042268   0.000000  -0.000000  -0.375761   0.000000   0.000000   25.0000     0.1100
    8.000     0.000   0.935800   0.030319   0.014965   0.045285   0.000000  -0.000000  -0.388079   0.000000   0.000000   25.0000     0.1087
    8.500     0.000   0.974875   0.032909   0.015498   0.048406   0.000000  -0.000000  -0.400033   0.000000   0.000000   25.0000     0.1075
    9.000     0.000   1.013047   0.035545   0.016074   0.051619   0.000000  -0.000000  -0.411526   0.000000   0.000000   25.0000     0.1063
