xflr5 v6.61

Plane name :        Wing_twist_0
Polar name :        T1-25.0 m/s-LLT
Freestream speed :  25.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -10.000     0.000  -0.590194   0.012779   0.020133   0.032912   0.000000   0.000000   0.114399   0.000000  -0.000000   25.0000     0.0501
   -9.500     0.000  -0.541841   0.011041   0.018645   0.029687   0.000000   0.000000   0.096465   0.000000   0.000000   25.0000     0.0457
   -9.000     0.000  -0.494127   0.009322   0.017236   0.026559   0.000000   0.000000   0.078792   0.000000   0.000000   25.0000     0.0401
   -8.500     0.000  -0.446021   0.007750   0.015946   0.023696   0.000000   0.000000   0.061205   0.000000   0.000000   25.0000     0.0331
   -8.000     0.000  -0.398135   0.006331   0.014917   0.021248   0.000000   0.000000   0.044001   0.000000   0.000000   25.0000     0.0244
   -7.500     0.000  -0.351413   0.005090   0.014124   0.019214   0.000000   0.000000   0.027686   0.000000   0.000000   25.0000     0.0125
   -7.000     0.000  -0.306024   0.004010   0.013508   0.017518   0.000000   0.000000   0.012273   0.000000   0.000000   25.0000    -0.0022
   -6.500     0.000  -0.260855   0.003072   0.012956   0.016029   0.000000   0.000000  -0.002951   0.000000  -0.000000   25.0000    -0.0229
   -6.000     0.000  -0.215928   0.002279   0.012461   0.014740   0.000000   0.000000  -0.017984   0.000000   0.000000   25.0000    -0.0667
   -5.500     0.000  -0.171073   0.001613   0.012020   0.013634   0.000000   0.000000  -0.032911   0.000000   0.000000   25.0000    -0.1553
   -5.000     0.000  -0.125386   0.001068   0.011628   0.012696   0.000000   0.000000  -0.048270   0.000000   0.000000   25.0000    -0.3004
   -4.500     0.000  -0.078486   0.000659   0.011275   0.011935   0.000000  -0.000000  -0.064306   0.000000   0.000000   25.0000    -0.2793
   -4.000     0.000  -0.031366   0.000409   0.010963   0.011372   0.000000   0.000000  -0.080473   0.000000   0.000000   25.0000     0.3256
   -3.500     0.000   0.015642   0.000316   0.010683   0.011000   0.000000  -0.000000  -0.096571   0.000000   0.000000   25.0000     1.2494
   -3.000     0.000   0.062701   0.000382   0.010434   0.010816   0.000000  -0.000000  -0.112690   0.000000   0.000000   25.0000     0.3563
   -2.500     0.000   0.110015   0.000603   0.010224   0.010827   0.000000  -0.000000  -0.128926   0.000000   0.000000   25.0000     0.2295
   -2.000     0.000   0.157298   0.000991   0.010057   0.011048   0.000000  -0.000000  -0.145152   0.000000   0.000000   25.0000     0.2606
   -1.500     0.000   0.202839   0.001521   0.009953   0.011474   0.000000  -0.000000  -0.160320   0.000000   0.000000   25.0000     0.3028
   -1.000     0.000   0.247124   0.002185   0.009886   0.012071   0.000000  -0.000000  -0.174740   0.000000   0.000000   25.0000     0.2764
   -0.500     0.000   0.291322   0.002986   0.009842   0.012828   0.000000  -0.000000  -0.189111   0.000000   0.000000   25.0000     0.2469
    0.000     0.000   0.334916   0.003919   0.009836   0.013756   0.000000  -0.000000  -0.203187   0.000000   0.000000   25.0000     0.2170
    0.500     0.000   0.374404   0.004878   0.009988   0.014866   0.000000  -0.000000  -0.215074   0.000000   0.000000   25.0000     0.1870
    1.000     0.000   0.408749   0.005791   0.010325   0.016116   0.000000  -0.000000  -0.224235   0.000000   0.000000   25.0000     0.1583
    1.500     0.000   0.442935   0.006784   0.010706   0.017490   0.000000  -0.000000  -0.233346   0.000000   0.000000   25.0000     0.1453
    2.000     0.000   0.478905   0.007917   0.011069   0.018986   0.000000  -0.000000  -0.243426   0.000000   0.000000   25.0000     0.1375
    2.500     0.000   0.520955   0.009358   0.011322   0.020680   0.000000   0.000000  -0.256778   0.000000   0.000000   25.0000     0.1327
    3.000     0.000   0.563776   0.010964   0.011576   0.022540   0.000000  -0.000000  -0.270582   0.000000   0.000000   25.0000     0.1288
    3.500     0.000   0.606535   0.012699   0.011848   0.024548   0.000000  -0.000000  -0.284372   0.000000   0.000000   25.0000     0.1254
    4.000     0.000   0.649129   0.014563   0.012139   0.026702   0.000000  -0.000000  -0.298098   0.000000   0.000000   25.0000     0.1224
    4.500     0.000   0.691603   0.016538   0.012454   0.028993   0.000000  -0.000000  -0.311755   0.000000   0.000000   25.0000     0.1197
    5.000     0.000   0.733718   0.018629   0.012804   0.031433   0.000000  -0.000000  -0.325240   0.000000   0.000000   25.0000     0.1173
    5.500     0.000   0.775489   0.020827   0.013185   0.034012   0.000000  -0.000000  -0.338554   0.000000  -0.000000   25.0000     0.1154
    6.000     0.000   0.816929   0.023131   0.013587   0.036717   0.000000   0.000000  -0.351706   0.000000   0.000000   25.0000     0.1138
    6.500     0.000   0.857937   0.025531   0.014017   0.039548   0.000000  -0.000000  -0.364644   0.000000   0.000000   25.0000     0.1122
    7.000     0.000   0.898447   0.028022   0.014479   0.042501   0.000000  -0.000000  -0.377332   0.000000   0.000000   25.0000     0.1108
    7.500     0.000   0.938359   0.030591   0.014976   0.045567   0.000000  -0.000000  -0.389718   0.000000   0.000000   25.0000     0.1095
    8.000     0.000   0.977546   0.033227   0.015514   0.048741   0.000000  -0.000000  -0.401736   0.000000   0.000000   25.0000     0.1083
    8.500     0.000   1.015915   0.035917   0.016093   0.052010   0.000000  -0.000000  -0.413338   0.000000   0.000000   25.0000     0.1071
    9.000     0.000   1.053160   0.038634   0.016717   0.055351   0.000000  -0.000000  -0.424357   0.000000   0.000000   25.0000     0.1059
    9.500     0.000   1.088858   0.041340   0.017395   0.058735   0.000000  -0.000000  -0.434558   0.000000   0.000000   25.0000     0.1048
   10.000     0.000   1.122989   0.044021   0.018143   0.062164   0.000000  -0.000000  -0.443962   0.000000   0.000000   25.0000     0.1037
   10.500     0.000   1.155999   0.046698   0.018972   0.065671   0.000000  -0.000000  -0.452863   0.000000   0.000000   25.0000     0.1026
   11.000     0.000   1.187925   0.049370   0.019897   0.069267   0.000000  -0.000000  -0.461331   0.000000   0.000000   25.0000     0.1016
   11.500     0.000   1.218637   0.052019   0.020933   0.072951   0.000000  -0.000000  -0.469326   0.000000   0.000000   25.0000     0.1006
   12.000     0.000   1.247974   0.054616   0.022105   0.076721   0.000000  -0.000000  -0.476794   0.000000   0.000000   25.0000     0.0997
   12.500     0.000   1.275769   0.057163   0.023430   0.080593   0.000000  -0.000000  -0.483700   0.000000   0.000000   25.0000     0.0988
   13.000     0.000   1.301914   0.059619   0.024939   0.084559   0.000000  -0.000000  -0.490022   0.000000   0.000000   25.0000     0.0979
   13.500     0.000   1.326139   0.061959   0.026666   0.088625   0.000000  -0.000000  -0.495682   0.000000   0.000000   25.0000     0.0970
   14.000     0.000   1.347987   0.064134   0.028649   0.092784   0.000000  -0.000000  -0.500510   0.000000   0.000000   25.0000     0.0962
   14.500     0.000   1.366915   0.066097   0.030953   0.097050   0.000000  -0.000000  -0.504348   0.000000   0.000000   25.0000     0.0954
   15.000     0.000   1.382440   0.067756   0.033712   0.101468   0.000000  -0.000000  -0.507147   0.000000   0.000000   25.0000     0.0946


