xflr5 v6.61

Plane name :        Wing_twist_2_tail_arm_0.6
Polar name :        T1-25.0 m/s-VLM1
Freestream speed :  25.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -10.000     0.000  -0.612173   0.015067   0.019035   0.034102   0.000000   0.000000   0.265877  -0.000000  -0.000000   25.0000     0.1171
   -9.500     0.000  -0.566187   0.013068   0.018272   0.031340   0.000000   0.000000   0.244704  -0.000000  -0.000000   25.0000     0.1163
   -9.000     0.000  -0.520098   0.011213   0.017597   0.028809   0.000000   0.000000   0.223427  -0.000000  -0.000000   25.0000     0.1154
   -8.500     0.000  -0.473914   0.009502   0.016973   0.026475   0.000000   0.000000   0.202049  -0.000000  -0.000000   25.0000     0.1143
   -8.000     0.000  -0.427643   0.007938   0.016391   0.024329   0.000000   0.000000   0.180576  -0.000000   0.000000   25.0000     0.1130
   -7.500     0.000  -0.381292   0.006522   0.015844   0.022367   0.000000   0.000000   0.159014  -0.000000   0.000000   25.0000     0.1113
   -7.000     0.000  -0.334867   0.005255   0.015338   0.020594   0.000000   0.000000   0.137368  -0.000000   0.000000   25.0000     0.1093
   -6.500     0.000  -0.288378   0.004139   0.014867   0.019007   0.000000   0.000000   0.115645  -0.000000   0.000000   25.0000     0.1066
   -6.000     0.000  -0.241831   0.003175   0.014434   0.017609   0.000000   0.000000   0.093850  -0.000000   0.000000   25.0000     0.1029
   -5.500     0.000  -0.195233   0.002363   0.014028   0.016391   0.000000   0.000000   0.071991  -0.000000  -0.000000   25.0000     0.0974
   -5.000     0.000  -0.148593   0.001704   0.013651   0.015355   0.000000   0.000000   0.050072  -0.000000   0.000000   25.0000     0.0884
   -4.500     0.000  -0.101918   0.001199   0.013309   0.014508   0.000000   0.000000   0.028101  -0.000000   0.000000   25.0000     0.0714
   -4.000     0.000  -0.055215   0.000849   0.013008   0.013857   0.000000   0.000000   0.006083  -0.000000  -0.000000   25.0000     0.0255
   -3.500     0.000  -0.008492   0.000654   0.012728   0.013382   0.000000   0.000000  -0.015974  -0.000000  -0.000000   25.0000    -0.5252
   -3.000     0.000   0.038243   0.000615   0.012512   0.013128   0.000000  -0.000000  -0.038064  -0.000000  -0.000000   25.0000     0.2701
   -2.500     0.000   0.084982   0.000732   0.012319   0.013051   0.000000  -0.000000  -0.060181  -0.000000  -0.000000   25.0000     0.1906
   -2.000     0.000   0.131719   0.001004   0.012149   0.013154   0.000000  -0.000000  -0.082320  -0.000000  -0.000000   25.0000     0.1675
   -1.500     0.000   0.178445   0.001433   0.012015   0.013448   0.000000  -0.000000  -0.104472  -0.000000  -0.000000   25.0000     0.1565
   -1.000     0.000   0.225152   0.002017   0.011917   0.013935   0.000000  -0.000000  -0.126633  -0.000000  -0.000000   25.0000     0.1501
   -0.500     0.000   0.271834   0.002757   0.011864   0.014621   0.000000  -0.000000  -0.148794  -0.000000  -0.000000   25.0000     0.1458
    0.000     0.000   0.318482   0.003653   0.011862   0.015515   0.000000  -0.000000  -0.170951  -0.000000  -0.000000   25.0000     0.1429
    0.500     0.000   0.365089   0.004703   0.011893   0.016595   0.000000  -0.000000  -0.193097  -0.000000  -0.000000   25.0000     0.1407
    1.000     0.000   0.411647   0.005907   0.012069   0.017977   0.000000  -0.000000  -0.215226  -0.000000  -0.000000   25.0000     0.1390
    1.500     0.000   0.458149   0.007266   0.012617   0.019883   0.000000  -0.000000  -0.237335  -0.000000  -0.000000   25.0000     0.1376
    2.000     0.000   0.504587   0.008776   0.013175   0.021951   0.000000  -0.000000  -0.259415  -0.000000  -0.000000   25.0000     0.1365
    2.500     0.000   0.550953   0.010439   0.013484   0.023923   0.000000  -0.000000  -0.281457  -0.000000  -0.000000   25.0000     0.1356
    3.000     0.000   0.597240   0.012252   0.013763   0.026016   0.000000  -0.000000  -0.303455  -0.000000  -0.000000   25.0000     0.1349
    3.500     0.000   0.643441   0.014216   0.014067   0.028282   0.000000  -0.000000  -0.325404  -0.000000  -0.000000   25.0000     0.1342
    4.000     0.000   0.689548   0.016327   0.014388   0.030715   0.000000  -0.000000  -0.347298  -0.000000  -0.000000   25.0000     0.1337
    4.500     0.000   0.735553   0.018585   0.014734   0.033320   0.000000  -0.000000  -0.369129  -0.000000  -0.000000   25.0000     0.1332
    5.000     0.000   0.781450   0.020989   0.015113   0.036102   0.000000  -0.000000  -0.390891  -0.000000  -0.000000   25.0000     0.1328
    5.500     0.000   0.827231   0.023537   0.015528   0.039065   0.000000  -0.000000  -0.412579  -0.000000  -0.000000   25.0000     0.1325
    6.000     0.000   0.872889   0.026227   0.015971   0.042198   0.000000  -0.000000  -0.434186  -0.000000  -0.000000   25.0000     0.1322
    6.500     0.000   0.918416   0.029057   0.016451   0.045508   0.000000  -0.000000  -0.455706  -0.000000  -0.000000   25.0000     0.1319
    7.000     0.000   0.963805   0.032026   0.016974   0.049000   0.000000  -0.000000  -0.477133  -0.000000  -0.000000   25.0000     0.1317
    7.500     0.000   1.009049   0.035130   0.017550   0.052680   0.000000  -0.000000  -0.498462  -0.000000  -0.000000   25.0000     0.1315
    8.000     0.000   1.054142   0.038369   0.018182   0.056551   0.000000  -0.000000  -0.519687  -0.000000  -0.000000   25.0000     0.1313
    8.500     0.000   1.099076   0.041740   0.018884   0.060624   0.000000  -0.000000  -0.540803  -0.000000  -0.000000   25.0000     0.1312
    9.000     0.000   1.143844   0.045241   0.019677   0.064918   0.000000  -0.000000  -0.561804  -0.000000  -0.000000   25.0000     0.1310
    9.500     0.000   1.188439   0.048868   0.020598   0.069467   0.000000  -0.000000  -0.582687  -0.000000  -0.000000   25.0000     0.1309
   10.000     0.000   1.232855   0.052620   0.021692   0.074312   0.000000  -0.000000  -0.603450  -0.000000  -0.000000   25.0000     0.1308


