xflr5 v6.61

Plane name :        wist_2
Polar name :        T1-25.0 m/s-VLM1
Freestream speed :  25.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -10.000     0.000  -0.607522   0.015045   0.018910   0.033955   0.000000   0.000000   0.358658  -0.000000  -0.000000   25.0000     0.1591
   -9.500     0.000  -0.561559   0.013039   0.018170   0.031209   0.000000   0.000000   0.333527  -0.000000  -0.000000   25.0000     0.1597
   -9.000     0.000  -0.515495   0.011177   0.017501   0.028678   0.000000   0.000000   0.308266  -0.000000   0.000000   25.0000     0.1605
   -8.500     0.000  -0.469336   0.009461   0.016888   0.026349   0.000000   0.000000   0.282881  -0.000000  -0.000000   25.0000     0.1615
   -8.000     0.000  -0.423089   0.007893   0.016312   0.024205   0.000000   0.000000   0.257378  -0.000000  -0.000000   25.0000     0.1627
   -7.500     0.000  -0.376762   0.006475   0.015773   0.022248   0.000000   0.000000   0.231765  -0.000000   0.000000   25.0000     0.1643
   -7.000     0.000  -0.330363   0.005206   0.015273   0.020480   0.000000   0.000000   0.206050  -0.000000   0.000000   25.0000     0.1663
   -6.500     0.000  -0.283898   0.004090   0.014809   0.018899   0.000000   0.000000   0.180238  -0.000000  -0.000000   25.0000     0.1690
   -6.000     0.000  -0.237376   0.003126   0.014381   0.017506   0.000000   0.000000   0.154338  -0.000000   0.000000   25.0000     0.1727
   -5.500     0.000  -0.190804   0.002316   0.013981   0.016296   0.000000   0.000000   0.128356  -0.000000  -0.000000   25.0000     0.1783
   -5.000     0.000  -0.144189   0.001660   0.013611   0.015271   0.000000   0.000000   0.102300  -0.000000   0.000000   25.0000     0.1875
   -4.500     0.000  -0.097540   0.001159   0.013276   0.014435   0.000000   0.000000   0.076178  -0.000000  -0.000000   25.0000     0.2057
   -4.000     0.000  -0.050864   0.000815   0.012978   0.013793   0.000000   0.000000   0.049997  -0.000000  -0.000000   25.0000     0.2572
   -3.500     0.000  -0.004167   0.000626   0.012702   0.013328   0.000000   0.000000   0.023765  -0.000000  -0.000000   25.0000     1.4634
