xflr5 v6.61

Plane name :        wist_2_05_down
Polar name :        T1-25.0 m/s-VLM1
Freestream speed :  25.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -10.000     0.000  -0.559415   0.010956   0.018815   0.029772   0.000000   0.000000   0.196086  -0.000000  -0.000000   25.0000     0.0942
   -9.500     0.000  -0.513163   0.009203   0.018080   0.027283   0.000000   0.000000   0.169992  -0.000000  -0.000000   25.0000     0.0888
   -9.000     0.000  -0.466816   0.007599   0.017415   0.025015   0.000000   0.000000   0.143789  -0.000000  -0.000000   25.0000     0.0824
   -8.500     0.000  -0.420381   0.006146   0.016814   0.022960   0.000000   0.000000   0.117487  -0.000000  -0.000000   25.0000     0.0745
   -8.000     0.000  -0.373868   0.004844   0.016252   0.021096   0.000000   0.000000   0.091090  -0.000000  -0.000000   25.0000     0.0647
   -7.500     0.000  -0.327282   0.003695   0.015726   0.019421   0.000000   0.000000   0.064607  -0.000000   0.000000   25.0000     0.0521
   -7.000     0.000  -0.280631   0.002701   0.015239   0.017940   0.000000   0.000000   0.038044  -0.000000   0.000000   25.0000     0.0353
   -6.500     0.000  -0.233924   0.001862   0.014781   0.016643   0.000000   0.000000   0.011410  -0.000000  -0.000000   25.0000     0.0118
   -6.000     0.000  -0.187167   0.001179   0.014357   0.015536   0.000000   0.000000  -0.015288  -0.000000   0.000000   25.0000    -0.0234
   -5.500     0.000  -0.140369   0.000654   0.013959   0.014613   0.000000   0.000000  -0.042043  -0.000000   0.000000   25.0000    -0.0821
   -5.000     0.000  -0.093537   0.000286   0.013592   0.013879   0.000000   0.000000  -0.068847  -0.000000   0.000000   25.0000    -0.1996
   -4.500     0.000  -0.046679   0.000077   0.013264   0.013341   0.000000   0.000000  -0.095691  -0.000000  -0.000000   25.0000    -0.5530
   -4.000     0.000   0.000198   0.000026   0.012968   0.012994   0.000000   0.000000  -0.122570  -0.000000   0.000000   25.0000   166.2679
   -3.500     0.000   0.047086   0.000135   0.012689   0.012824   0.000000   0.000000  -0.149475  -0.000000  -0.000000   25.0000     0.8513
   -3.000     0.000   0.093976   0.000403   0.012487   0.012890   0.000000  -0.000000  -0.176396  -0.000000  -0.000000   25.0000     0.5024
   -2.500     0.000   0.140862   0.000831   0.012297   0.013128   0.000000  -0.000000  -0.203328  -0.000000  -0.000000   25.0000     0.3858
   -2.000     0.000   0.187735   0.001418   0.012141   0.013559   0.000000  -0.000000  -0.230263  -0.000000  -0.000000   25.0000     0.3274
   -1.500     0.000   0.234588   0.002164   0.012023   0.014188   0.000000  -0.000000  -0.257192  -0.000000  -0.000000   25.0000     0.2924
   -1.000     0.000   0.281414   0.003070   0.011929   0.014999   0.000000  -0.000000  -0.284108  -0.000000  -0.000000   25.0000     0.2690
   -0.500     0.000   0.328203   0.004134   0.011883   0.016017   0.000000  -0.000000  -0.311003  -0.000000  -0.000000   25.0000     0.2523
    0.000     0.000   0.374949   0.005357   0.011889   0.017245   0.000000  -0.000000  -0.337869  -0.000000  -0.000000   25.0000     0.2398
    0.500     0.000   0.421644   0.006737   0.011930   0.018667   0.000000  -0.000000  -0.364698  -0.000000  -0.000000   25.0000     0.2301
