xflr5 v6.61

Plane name :        wist_2_10_up
Polar name :        T1-25.0 m/s-VLM1
Freestream speed :  25.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -10.000     0.000  -0.718099   0.032845   0.020630   0.053475   0.000000   0.000000   0.738857  -0.000000   0.000000   25.0000     0.2774
   -9.500     0.000  -0.672323   0.030220   0.019756   0.049977   0.000000   0.000000   0.713952  -0.000000  -0.000000   25.0000     0.2859
   -9.000     0.000  -0.626425   0.027735   0.019001   0.046736   0.000000   0.000000   0.688875  -0.000000   0.000000   25.0000     0.2957
   -8.500     0.000  -0.580413   0.025391   0.018311   0.043702   0.000000   0.000000   0.663626  -0.000000  -0.000000   25.0000     0.3070
   -8.000     0.000  -0.534294   0.023190   0.017670   0.040860   0.000000   0.000000   0.638208  -0.000000   0.000000   25.0000     0.3203
   -7.500     0.000  -0.488076   0.021135   0.017075   0.038209   0.000000   0.000000   0.612626  -0.000000   0.000000   25.0000     0.3361
   -7.000     0.000  -0.441765   0.019225   0.016517   0.035742   0.000000   0.000000   0.586887  -0.000000   0.000000   25.0000     0.3554
   -6.500     0.000  -0.395369   0.017464   0.015993   0.033457   0.000000   0.000000   0.560997  -0.000000   0.000000   25.0000     0.3791
   -6.000     0.000  -0.348896   0.015853   0.015508   0.031361   0.000000   0.000000   0.534962  -0.000000  -0.000000   25.0000     0.4093
   -5.500     0.000  -0.302353   0.014392   0.015049   0.029441   0.000000   0.000000   0.508791  -0.000000   0.000000   25.0000     0.4488
   -5.000     0.000  -0.255748   0.013084   0.014618   0.027702   0.000000   0.000000   0.482491  -0.000000   0.000000   25.0000     0.5028
   -4.500     0.000  -0.209088   0.011928   0.014221   0.026150   0.000000   0.000000   0.456068  -0.000000   0.000000   25.0000     0.5809
   -4.000     0.000  -0.162381   0.010927   0.013875   0.024802   0.000000   0.000000   0.429531  -0.000000  -0.000000   25.0000     0.7040
   -3.500     0.000  -0.115635   0.010081   0.013539   0.023619   0.000000   0.000000   0.402885  -0.000000  -0.000000   25.0000     0.9268
   -3.000     0.000  -0.068857   0.009390   0.013272   0.022662   0.000000  -0.000000   0.376141  -0.000000  -0.000000   25.0000     1.4525
   -2.500     0.000  -0.022054   0.008856   0.013029   0.021885   0.000000  -0.000000   0.349305  -0.000000  -0.000000   25.0000     4.2101
   -2.000     0.000   0.024765   0.008478   0.012808   0.021286   0.000000  -0.000000   0.322384  -0.000000  -0.000000   25.0000    -3.4598
   -1.500     0.000   0.071593   0.008258   0.012636   0.020894   0.000000  -0.000000   0.295387  -0.000000  -0.000000   25.0000    -1.0966
   -1.000     0.000   0.118422   0.008194   0.012495   0.020690   0.000000  -0.000000   0.268321  -0.000000  -0.000000   25.0000    -0.6023
   -0.500     0.000   0.165244   0.008289   0.012395   0.020684   0.000000  -0.000000   0.241193  -0.000000  -0.000000   25.0000    -0.3881
    0.000     0.000   0.212052   0.008540   0.012352   0.020893   0.000000  -0.000000   0.214013  -0.000000  -0.000000   25.0000    -0.2686
    0.500     0.000   0.258838   0.008950   0.012346   0.021295   0.000000  -0.000000   0.186786  -0.000000  -0.000000   25.0000    -0.1922
    1.000     0.000   0.305594   0.009516   0.012416   0.021931   0.000000  -0.000000   0.159521  -0.000000  -0.000000   25.0000    -0.1392
    1.500     0.000   0.352313   0.010239   0.012931   0.023169   0.000000  -0.000000   0.132222  -0.000000  -0.000000   25.0000    -0.1003
    2.000     0.000   0.398987   0.011118   0.013466   0.024584   0.000000  -0.000000   0.104898  -0.000000  -0.000000   25.0000    -0.0705
    2.500     0.000   0.445608   0.012153   0.013795   0.025948   0.000000  -0.000000   0.077560  -0.000000  -0.000000   25.0000    -0.0470
    3.000     0.000   0.492169   0.013343   0.014049   0.027392   0.000000  -0.000000   0.050215  -0.000000  -0.000000   25.0000    -0.0279
    3.500     0.000   0.538662   0.014687   0.014334   0.029021   0.000000  -0.000000   0.022871  -0.000000  -0.000000   25.0000    -0.0121
    4.000     0.000   0.585079   0.016184   0.014650   0.030834   0.000000  -0.000000  -0.004468  -0.000000  -0.000000   25.0000     0.0012
    4.500     0.000   0.631414   0.017834   0.015026   0.032860   0.000000  -0.000000  -0.031800  -0.000000  -0.000000   25.0000     0.0125
    5.000     0.000   0.677657   0.019634   0.015412   0.035046   0.000000  -0.000000  -0.059105  -0.000000  -0.000000   25.0000     0.0223
    5.500     0.000   0.723802   0.021584   0.015813   0.037397   0.000000  -0.000000  -0.086371  -0.000000  -0.000000   25.0000     0.0308
    6.000     0.000   0.769842   0.023682   0.016246   0.039928   0.000000  -0.000000  -0.113599  -0.000000  -0.000000   25.0000     0.0384
    6.500     0.000   0.815769   0.025927   0.016715   0.042642   0.000000  -0.000000  -0.140779  -0.000000  -0.000000   25.0000     0.0450
    7.000     0.000   0.861575   0.028317   0.017232   0.045548   0.000000  -0.000000  -0.167907  -0.000000  -0.000000   25.0000     0.0510
    7.500     0.000   0.907254   0.030850   0.017803   0.048652   0.000000  -0.000000  -0.194975  -0.000000  -0.000000   25.0000     0.0564
    8.000     0.000   0.952798   0.033524   0.018428   0.051952   0.000000  -0.000000  -0.221974  -0.000000  -0.000000   25.0000     0.0612
    8.500     0.000   0.998199   0.036338   0.019119   0.055457   0.000000  -0.000000  -0.248895  -0.000000  -0.000000   25.0000     0.0656
    9.000     0.000   1.043451   0.039289   0.019896   0.059185   0.000000  -0.000000  -0.275734  -0.000000  -0.000000   25.0000     0.0697
    9.500     0.000   1.088547   0.042375   0.020793   0.063168   0.000000  -0.000000  -0.302482  -0.000000  -0.000000   25.0000     0.0734
   10.000     0.000   1.133479   0.045595   0.021846   0.067441   0.000000  -0.000000  -0.329138  -0.000000  -0.000000   25.0000     0.0768
   10.500     0.000   1.178241   0.048944   0.023173   0.072117   0.000000  -0.000000  -0.355699   0.000000  -0.000000   25.0000     0.0800


