xflr5 v6.61

Plane name :        ex_plain
Polar name :        T1-25.0 m/s-VLM1
Freestream speed :  25.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -10.000     0.000  -0.588298   0.027387   0.020579   0.047966  -0.000000  -0.000000   0.698238  -0.000000  -0.000000   25.0000     0.3039
   -9.500     0.000  -0.543922   0.024211   0.019884   0.044095  -0.000000   0.000000   0.659106  -0.000000  -0.000000   25.0000     0.3097
   -9.000     0.000  -0.499413   0.021234   0.019236   0.040469  -0.000000  -0.000000   0.619756  -0.000000   0.000000   25.0000     0.3167
   -8.500     0.000  -0.454780   0.018458   0.018610   0.037068  -0.000000  -0.000000   0.580195   0.000000   0.000000   25.0000     0.3251
   -8.000     0.000  -0.410031   0.015886   0.018012   0.033898  -0.000000   0.000000   0.540435   0.000000   0.000000   25.0000     0.3354
   -7.500     0.000  -0.365175   0.013520   0.017463   0.030983  -0.000000  -0.000000   0.500489  -0.000000   0.000000   25.0000     0.3482
   -7.000     0.000  -0.320220   0.011363   0.016939   0.028302  -0.000000   0.000000   0.460367   0.000000   0.000000   25.0000     0.3648
   -6.500     0.000  -0.275177   0.009415   0.016441   0.025856  -0.000000   0.000000   0.420080   0.000000   0.000000   25.0000     0.3869
   -6.000     0.000  -0.230053   0.007679   0.015975   0.023654  -0.000000   0.000000   0.379641  -0.000000   0.000000   25.0000     0.4177
   -5.500     0.000  -0.184858   0.006157   0.015535   0.021692  -0.000000  -0.000000   0.339060  -0.000000  -0.000000   25.0000     0.4636
   -5.000     0.000  -0.139601   0.004850   0.015121   0.019970  -0.000000   0.000000   0.298351   0.000000   0.000000   25.0000     0.5396
   -4.500     0.000  -0.094291   0.003759   0.014734   0.018493  -0.000000   0.000000   0.257524   0.000000   0.000000   25.0000     0.6887
   -4.000     0.000  -0.048938   0.002885   0.014374   0.017259  -0.000000   0.000000   0.216591   0.000000   0.000000   25.0000     1.1145
   -3.500     0.000  -0.003549   0.002229   0.014037   0.016267  -0.000000   0.000000   0.175563   0.000000  -0.000000   25.0000    12.4389
   -3.000     0.000   0.041865   0.001793   0.013719   0.015512  -0.000000   0.000000   0.134453   0.000000   0.000000   25.0000    -0.8060
   -2.500     0.000   0.087296   0.001576   0.013456   0.015033  -0.000000   0.000000   0.093272  -0.000000   0.000000   25.0000    -0.2674
   -2.000     0.000   0.132733   0.001580   0.013242   0.014821  -0.000000   0.000000   0.052034   0.000000   0.000000   25.0000    -0.0974
   -1.500     0.000   0.178169   0.001804   0.013056   0.014859  -0.000000  -0.000000   0.010749   0.000000   0.000000   25.0000    -0.0142
